ecorpc 1.10.0009
2;1;3;1
2;2;3;1
2;3;3;1
2;4;3;1
2;5;3;1
2;6;3;1
2;7;3;1
3;1;3;1
3;2;3;1
3;3;3;1
3;4;3;1
3;5;3;1
3;6;3;1
3;7;3;1
3;8;3;1
3;9;3;1
5;1;3;1
5;2;3;1
5;3;3;1
6;9;3;1
6;10;3;1
6;11;3;1
6;12;3;1
6;13;3;1
6;14;3;1
8;1;3;1
8;2;3;1
8;3;3;1
8;4;3;1
8;5;3;1
8;6;3;1
10;1;3;1
10;2;3;1
10;3;3;1
10;4;3;1
10;5;3;1
11;1;3;1
11;2;3;1
11;3;3;1
11;4;3;1
13;1;3;1
13;2;3;1
13;3;3;1
13;4;3;1
13;5;3;1
13;6;3;1
13;7;3;1
13;8;3;1
13;9;3;1
13;10;3;1
13;11;3;1
13;12;3;1
13;13;3;1
13;14;3;1
13;15;3;1
13;16;3;1
13;17;3;1
13;18;3;1
13;19;3;1
13;20;3;1
13;21;3;1
13;22;3;1
13;23;3;1
13;24;3;1
13;25;3;1
13;26;3;1
13;27;3;1
13;28;3;1
13;29;3;1
13;30;3;1
13;31;3;1
13;32;3;1
13;33;3;1
13;34;3;1
17;1;3;1
17;2;3;1
17;3;3;1
17;4;3;1
17;5;3;1
17;6;3;1
17;7;3;1
17;8;3;1
17;9;3;1
20;1;3;1
20;2;3;1
20;3;3;1
20;4;3;1
20;5;3;1
20;6;3;1
20;7;3;1
20;8;3;1
20;9;3;1
20;10;3;1
20;11;3;1
20;12;3;1
22;1;3;1
22;2;3;1
22;3;3;1
22;4;3;1
22;5;3;1
22;6;3;1
22;7;3;1
22;8;3;1
22;9;3;1
22;10;3;1
22;11;3;1
22;12;3;1
22;13;3;1
22;14;3;1
22;15;3;1
22;16;3;1
22;17;3;1
22;18;3;1
23;1;3;1
23;2;3;1
23;3;3;1
24;1;3;1
24;2;3;1
24;3;3;1
24;4;3;1
24;5;3;1
24;6;3;1
24;7;3;1
24;8;3;1
24;9;3;1
24;10;3;1
25;1;3;1
25;2;3;1
25;3;3;1
27;1;3;1
27;2;3;1
28;1;3;1
28;2;3;1
28;3;3;1
34;1;3;1
36;1;3;1
36;2;3;1
36;3;3;1
36;4;3;1
36;5;3;1
36;6;3;1
36;7;3;1
36;8;3;1
36;9;3;1
36;10;3;1
36;11;3;1
36;12;3;1
36;13;3;1
36;14;3;1
36;15;3;1
36;16;3;1
36;17;3;1
36;18;3;1
36;19;3;1
36;20;3;1
36;21;3;1
36;22;3;1
36;23;3;1
36;24;3;1
36;25;3;1
36;26;3;1
42;1;3;1
43;1;3;1
43;2;3;1
43;3;3;1
43;4;3;1
43;5;3;1
43;6;3;1
43;7;3;1
43;8;3;1
43;9;3;1
43;10;3;1
43;11;3;1
43;12;3;1
43;13;3;1
43;14;3;1
43;15;3;1
43;16;3;1
43;17;3;1
43;18;3;1
43;19;3;1
43;20;3;1
43;21;3;1
43;22;3;1
43;23;3;1
43;24;3;1
43;25;3;1
70;1;3;1
70;2;3;1
70;3;3;1
70;4;3;1
73;1;3;1
73;2;3;1
74;1;3;1
74;2;3;1
79;1;3;1
79;2;3;1
79;3;3;1
79;4;3;1
79;5;3;1
79;6;3;1
79;7;3;1
79;8;3;1
79;9;3;1
79;10;3;1
79;11;3;1
79;12;3;1
79;13;3;1
79;14;3;1
79;15;3;1
79;16;3;1
79;17;3;1
79;18;3;1
79;19;3;1
79;20;3;1
79;21;3;1
79;22;3;1
79;23;3;1
79;24;3;1
79;25;3;1
79;26;3;1
79;27;3;1
79;30;3;1
79;31;3;1
79;32;3;1
79;33;3;1
79;40;3;1
79;41;3;1
79;42;3;1
79;43;3;1
79;44;3;1
79;45;3;1
79;46;3;1
79;60;3;1
79;2000;3;1
79;2001;3;1
79;2002;3;1
79;2003;3;1
79;2004;3;1
79;2005;3;1
79;2006;3;1
79;2007;3;1
79;2008;3;1
79;2009;3;1
79;2010;3;1
79;2011;3;1
79;2012;3;1
79;2013;3;1
79;2014;3;1
79;2015;3;1
79;3000;3;1
79;3001;3;1
79;3002;3;1
79;3003;3;1
79;3004;3;1
79;3005;3;1
79;3006;3;1
